"","Year","prop_age_1.1","prop_age_1.2","prop_age_2.1","prop_age_1.3","prop_age_2.2","prop_age_2.3","prop_age_3.1","prop_age_3.2","prop_age_3.3","prop_age_4.1","Other","TOTAL","Sample_Size","Confirmed","Source","Age_Method","Notes"
"27",2011,0.261263752493429,0.591579012543768,0.0307233872575653,0.0773415159211933,0.037032152713193,0.00206017907085137,NA,NA,NA,NA,NA,"1",394,2024-05-27,"Bonneville Sockeye PIT tag paper (critfc.org)","PIT/SPA",NA
"28",2012,0.0167119858510496,0.959703840573946,0.00122447918563716,0.0167774956570993,0.00558219873226797,0,NA,NA,NA,NA,NA,"1",1005,2024-05-27,"Bonneville Sockeye PIT tag paper (critfc.org)","PIT/SPA",NA
"29",2013,0.243,0.616,NA,0.087,0.054,NA,NA,NA,NA,NA,NA,"1",395,2024-05-27,"15-01.pdf (critfc.org)","PIT/SPA",NA
"30",2014,0.174827090323133,0.818906895727552,0.0012458208415629,0.00107652209818481,0.00394367100956716,NA,NA,NA,NA,NA,NA,"1",859,2024-05-27,"16-02.pdf (critfc.org)","PIT/SPA",NA
"31",2015,0.002,0.97,0.002,0.024,NA,NA,NA,NA,NA,NA,NA,"0.998",143,2024-05-27,"17-06.pdf (critfc.org)","PIT/SPA",NA
"32",2016,0.00949352685566569,0.95981944909294,NA,0.00715203620203911,0.0235394254477849,NA,NA,NA,NA,NA,NA,"1",1142,2024-05-27,"18-02.pdf (critfc.org)","PIT/SPA",NA
"33",2017,0.190266708424329,0.527,0.036,0.221,0.022,0.004,NA,NA,NA,NA,NA,"1",631,2024-05-27,"18-02.pdf (critfc.org)","PIT/SPA",NA
"34",2018,0.0039832778500609,0.956208106702492,0.004,0.022,0.00626975539976126,NA,0.0075892727707257,NA,NA,NA,NA,"1",1642,2024-05-27,"20_01.pdf (critfc.org)","PIT/SPA",NA
"35",2019,0.545,0.171,0.012,0.224,0.046,0.001,0.001,NA,NA,NA,NA,"1",831,2024-05-27,"https://critfc.org/wp-content/uploads/2022/06/21_01.pdf","PIT/SPA",NA
"36",2020,0.011,0.984,0.002,0.001,0.002,0,NA,NA,NA,NA,NA,"1",1346,2024-05-27,"22_02.pdf (critfc.org)","PIT/SPA",NA
"37",2021,0.405,0.518,0.014,0.0505,0.012,0,NA,NA,NA,NA,NA,"1",1027,2024-05-27,"24-01.pdf (critfc.org)","PIT/SPA",NA
"38",2022,0.024,0.95,0.0085,0.012,0.0055,0,NA,NA,NA,NA,NA,"1",1115,2024-05-27,"24-01.pdf (critfc.org)","PIT/SPA",NA
"39",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"PIT/SPA",NA
