"","return_year","age_class","CRITFC_prop_at_age","CRITFC_method","ONA_prop_at_age","ONA_method"
"76",1990,"prop_age_1.1","0.45208","SPA - Mixed Stock Adjusted?",NA,NA
"77",1990,"prop_age_1.2","0.26189","SPA - Mixed Stock Adjusted?",NA,NA
"78",1990,"prop_age_1.3","0.22627","SPA - Mixed Stock Adjusted?",NA,NA
"79",1990,"prop_age_2.1","0.01884","SPA - Mixed Stock Adjusted?",NA,NA
"80",1990,"prop_age_2.2","0.03506","SPA - Mixed Stock Adjusted?",NA,NA
"81",1990,"prop_age_2.3","0.00585","SPA - Mixed Stock Adjusted?",NA,NA
"82",1990,"prop_age_3.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"83",1990,"prop_age_3.2",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"84",1990,"prop_age_3.3",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"85",1990,"prop_age_4.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"86",1991,"prop_age_1.1","0.1542","SPA - Mixed Stock Adjusted?",NA,NA
"87",1991,"prop_age_1.2","0.75978","SPA - Mixed Stock Adjusted?",NA,NA
"88",1991,"prop_age_1.3","0.01482","SPA - Mixed Stock Adjusted?",NA,NA
"89",1991,"prop_age_2.1","0.06678","SPA - Mixed Stock Adjusted?",NA,NA
"90",1991,"prop_age_2.2","0.00147","SPA - Mixed Stock Adjusted?",NA,NA
"91",1991,"prop_age_2.3","0.00294","SPA - Mixed Stock Adjusted?",NA,NA
"92",1991,"prop_age_3.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"93",1991,"prop_age_3.2",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"94",1991,"prop_age_3.3",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"95",1991,"prop_age_4.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"96",1992,"prop_age_1.1","0.1688","SPA - Mixed Stock Adjusted?",NA,NA
"97",1992,"prop_age_1.2","0.73347","SPA - Mixed Stock Adjusted?",NA,NA
"98",1992,"prop_age_1.3","0.01362","SPA - Mixed Stock Adjusted?",NA,NA
"99",1992,"prop_age_2.1","0.06995","SPA - Mixed Stock Adjusted?",NA,NA
"100",1992,"prop_age_2.2","0.0142","SPA - Mixed Stock Adjusted?",NA,NA
"101",1992,"prop_age_2.3","0","SPA - Mixed Stock Adjusted?",NA,NA
"102",1992,"prop_age_3.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"103",1992,"prop_age_3.2",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"104",1992,"prop_age_3.3",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"105",1992,"prop_age_4.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"106",1993,"prop_age_1.1","0","SPA - Mixed Stock Adjusted?",NA,NA
"107",1993,"prop_age_1.2","0.88654","SPA - Mixed Stock Adjusted?",NA,NA
"108",1993,"prop_age_1.3","0.05258","SPA - Mixed Stock Adjusted?",NA,NA
"109",1993,"prop_age_2.1","0.00184","SPA - Mixed Stock Adjusted?",NA,NA
"110",1993,"prop_age_2.2","0.05665","SPA - Mixed Stock Adjusted?",NA,NA
"111",1993,"prop_age_2.3","0.00239","SPA - Mixed Stock Adjusted?",NA,NA
"112",1993,"prop_age_3.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"113",1993,"prop_age_3.2",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"114",1993,"prop_age_3.3",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"115",1993,"prop_age_4.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"116",1994,"prop_age_1.1","0.14294","SPA - Mixed Stock Adjusted?",NA,NA
"117",1994,"prop_age_1.2","0.12612","SPA - Mixed Stock Adjusted?",NA,NA
"118",1994,"prop_age_1.3","0.69848","SPA - Mixed Stock Adjusted?",NA,NA
"119",1994,"prop_age_2.1","0.01565","SPA - Mixed Stock Adjusted?",NA,NA
"120",1994,"prop_age_2.2","0.01681","SPA - Mixed Stock Adjusted?",NA,NA
"121",1994,"prop_age_2.3","0","SPA - Mixed Stock Adjusted?",NA,NA
"122",1994,"prop_age_3.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"123",1994,"prop_age_3.2",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"124",1994,"prop_age_3.3",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"125",1994,"prop_age_4.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"126",1995,"prop_age_1.1","0.41304347826087","SPA - Mixed Stock Adjusted?",NA,NA
"127",1995,"prop_age_1.2","0.514492753623188","SPA - Mixed Stock Adjusted?",NA,NA
"128",1995,"prop_age_1.3","0.0144927536231884","SPA - Mixed Stock Adjusted?",NA,NA
"129",1995,"prop_age_2.1","0.0579710144927536","SPA - Mixed Stock Adjusted?",NA,NA
"130",1995,"prop_age_2.2","0","SPA - Mixed Stock Adjusted?",NA,NA
"131",1995,"prop_age_2.3","0","SPA - Mixed Stock Adjusted?",NA,NA
"132",1995,"prop_age_3.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"133",1995,"prop_age_3.2",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"134",1995,"prop_age_3.3",NA,"SPA - Mixed Stock Adjusted?",NA,NA
